,feature_id,feature_type,feature_subtype,year,week,census_block_2010,value
461,weather_average_temperature,,,2016,12,,127.0
462,weather_average_minimum_temperature,,,2016,12,,70.71428571428571
463,weather_average_maximum_temperature,,,2016,12,,185.85714285714286
464,weather_total_precipitation,,,2016,13,,119
465,weather_average_temperature,,,2016,13,,139.71428571428572
466,weather_average_minimum_temperature,,,2016,13,,88.85714285714286
467,weather_average_maximum_temperature,,,2016,13,,195.14285714285714
468,weather_total_precipitation,,,2016,14,,239
469,weather_average_temperature,,,2016,14,,83.57142857142857
470,weather_average_minimum_temperature,,,2016,14,,26.428571428571427
471,weather_average_maximum_temperature,,,2016,14,,138.0
472,weather_total_precipitation,,,2016,15,,16
473,weather_average_temperature,,,2016,15,,133.0
474,weather_average_minimum_temperature,,,2016,15,,69.71428571428571
475,weather_average_maximum_temperature,,,2016,15,,198.42857142857142
476,weather_total_precipitation,,,2016,16,,66
477,weather_average_temperature,,,2016,16,,180.85714285714286
478,weather_average_minimum_temperature,,,2016,16,,116.71428571428571
479,weather_average_maximum_temperature,,,2016,16,,242.71428571428572
480,weather_total_precipitation,,,2016,17,,285
481,weather_average_temperature,,,2016,17,,148.71428571428572
482,weather_average_minimum_temperature,,,2016,17,,114.42857142857143
483,weather_average_maximum_temperature,,,2016,17,,190.42857142857142
484,weather_total_precipitation,,,2016,18,,618
485,weather_average_temperature,,,2016,18,,147.57142857142858
486,weather_average_minimum_temperature,,,2016,18,,117.57142857142857
487,weather_average_maximum_temperature,,,2016,18,,188.85714285714286
488,weather_total_precipitation,,,2016,19,,175
489,weather_average_temperature,,,2016,19,,157.0
490,weather_average_minimum_temperature,,,2016,19,,121.28571428571429
491,weather_average_maximum_temperature,,,2016,19,,196.85714285714286
492,weather_total_precipitation,,,2016,20,,366
493,weather_average_temperature,,,2016,20,,149.85714285714286
494,weather_average_minimum_temperature,,,2016,20,,116.57142857142857
495,weather_average_maximum_temperature,,,2016,20,,186.28571428571428
496,weather_total_precipitation,,,2016,21,,155
497,weather_average_temperature,,,2016,21,,225.42857142857142
498,weather_average_minimum_temperature,,,2016,21,,173.14285714285714
499,weather_average_maximum_temperature,,,2016,21,,290.42857142857144
500,weather_total_precipitation,,,2016,22,,122
501,weather_average_temperature,,,2016,22,,240.57142857142858
502,weather_average_minimum_temperature,,,2016,22,,208.71428571428572
