inspection_id,latitude,longitude,census_block
607,38.929588,-76.975594,2019
608,38.929588,-76.975594,2019
609,38.929588,-76.975594,2019
610,38.929588,-76.975594,2019
611,38.929588,-76.975594,2019
612,38.896282,-76.934141,1017
613,38.896282,-76.934141,1017
614,38.896282,-76.934141,1017
615,38.896282,-76.934141,1017
616,38.896282,-76.934141,1017
617,38.956526,-77.0024,3008
618,38.956526,-77.0024,3008
619,38.956526,-77.0024,3008
620,38.913551,-76.988672,1004
621,38.917342,-76.975062,3019
622,38.917342,-76.975062,3019
623,38.929782,-76.974702,2014
624,38.929782,-76.974702,2014
625,38.929782,-76.974702,2014
626,38.919751,-76.972896,3017
627,38.919751,-76.972896,3017
628,38.919751,-76.972896,3017
629,38.918477,-77.000493,1011
630,38.918477,-77.000493,1011
631,38.919782,-76.972913,3017
632,38.919869,-76.973006,3017
633,38.919869,-76.973006,3017
634,38.955739,-77.004216,1002
635,38.95574,-77.004212,1002
636,38.95574,-77.004212,1002
637,38.95574,-77.004212,1002
638,38.95574,-77.004212,1002
639,38.95574,-77.004212,1002
640,38.95574,-77.004212,1002
641,38.95574,-77.004212,1002
642,38.95574,-77.004212,1002
643,38.919413,-76.970839,1031
644,38.919413,-76.970839,1031
645,38.889,-76.988314,2000
646,38.889,-76.988314,2000
647,38.889,-76.988314,2000
648,38.889,-76.988314,2000
649,38.889,-76.988314,2000
650,38.921249,-76.97115,1032
651,38.91742,-76.972493,3023
652,38.91742,-76.972493,3023
653,38.91742,-76.972493,3023
654,38.91742,-76.972493,3023
655,38.919771,-77.000493,1001
656,38.919771,-77.000493,1001
657,38.919771,-77.000493,1001
658,38.917495,-76.972447,3018
659,38.917495,-76.972447,3018
660,38.930271,-76.97359,2008
661,38.930271,-76.97359,2008
662,38.930271,-76.97359,2008
663,38.930271,-76.97359,2008
664,38.930271,-76.97359,2008
665,38.920149,-76.970165,1025
666,38.920402,-77.000644,2010
667,38.920402,-77.000644,2010
668,38.920402,-77.000644,2010
669,38.920583,-76.969896,1025
670,38.892804,-76.983719,2005
671,38.892804,-76.983719,2005
672,38.892708,-77.001968,2003
673,38.892708,-77.001968,2003
674,38.892708,-77.001968,2003
675,38.914792,-77.014686,2026
679,38.914792,-77.014686,2026
680,38.898065,-76.972128,1001
681,38.898065,-76.972128,1001
682,38.898065,-76.972128,1001
683,38.917408,-76.970708,3023
684,38.924432,-76.969349,1012
685,38.924432,-76.969349,1012
686,38.89701,-76.961181,1000
687,38.917471,-76.968474,1038
688,38.917471,-76.968474,1038
689,38.917471,-76.968474,1038
690,38.917471,-76.968474,1038
691,38.925187,-76.996104,1000
692,38.925197,-76.996103,1000
693,38.925197,-76.996103,1000
694,38.925197,-76.996103,1000
695,38.925525,-76.990439,1006
